Project,Task ID,Title,Column,Priority,Labels,Description,Created
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-service-epic","Epic: 13F Holdings Diff & Copycat Portfolio Service","done","high","epic; 13f","Build WhaleWisdom-style 13F service: ingest, diff, copycat, fund metrics, screener, heat map, backtester, dashboard API. All acceptance criteria met.","2026-02-20T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-data-pipeline-001","13F Data Pipeline & API","done","high","13f; data","Ingest SEC 13F-HR (ingest-13f.py), query by filer/period (query-13f.py). JSON in outputs/13f/. Reference: reference/13f-data-pipeline.md","2026-02-20T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-holdings-diff-001","13F Holdings Diff (period-over-period)","done","high","13f","Compare two periods: new buys, sells, increased, decreased. Script: 13f-holdings-diff.py. --out report.md, --json-out for API.","2026-02-20T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-copycat-portfolio-001","13F Copycat Portfolio","done","high","13f; portfolio","Build target portfolio from 1+ filers. Script: copycat-13f.py. Value/equal weight, consensus-min. Output: tickers + weightPct + ticker.","2026-02-20T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-fund-performance-001","13F Fund Performance (metrics)","done","medium","13f","Concentration (top 5/10/20%), holdings count, overlap %. Script: 13f-fund-performance.py.","2026-02-21T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-stock-screener-001","13F Stock Screener","done","medium","13f","Aggregate by CUSIP: value, filer count, ticker. Script: 13f-stock-screener.py. --min-filers for consensus.","2026-02-21T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-combined-holdings","Combined Holdings (overlap / consensus)","done","medium","13f","Covered by copycat --consensus-min and stock screener --min-filers.","2026-02-21T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-backtester-001","13F Backtester","done","medium","13f; backtest","Backtest copycat/13F strategy with FMP prices. Script: 13f-backtest.py. CUSIP→ticker via reference/cusip-to-ticker.json.","2026-02-21T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-heat-map-001","13F Heat Map export","done","medium","13f","Export matrix (filers x CUSIPs) for visualization. Script: 13f-heatmap-export.py. JSON/CSV.","2026-02-21T12:00:00.000Z"
"Automated 13F Holdings Diff & Copycat Portfolio Service","13f-dashboard-integration","Dashboard integration (Option B: API)","done","high","13f; dashboard","FastAPI bridge at port 8000. Endpoints: /api/13f/filers, holdings, diff, copycat, screener, heatmap, fund-metrics. See reference/13f-dashboard-integration.md.","2026-02-21T12:00:00.000Z"
